Matrícula_empregado,Sexo,Escolaridade,Satisfação_clientes_média,Absenteísmo,Distância_trabalho,Qtde_filhos,Idade,Experiência_vendas,DISC_Dominância,DISC_Influência,DISC_Estabilidade,DISC_Conformidade,Perfil_Comunicador,Perfil_Executor,Perfil_Analista,Perfil_Planejador
4159026,F,Médio,"2,00","5,2%","17,40","0,00","34,00","0,00","0,00","1,00","4,00","5,00","2,00","1,00","6,00","5,00"
5891741,F,Médio,"0,00","5,4%","20,30","2,00","21,00","0,10","0,00","0,00","5,00","4,00","0,00","1,00","7,00","6,00"
9602093,F,Médio,"1,00","2,9%","19,20","1,00","25,00","0,90","1,00","0,00","4,00","2,00","2,00","0,00","10,00","9,00"
5361412,F,Médio,"4,00","3,9%","11,50","1,00","32,00","0,10","1,00","2,00","4,00","4,00","3,00","3,00","5,00","3,00"
1315898,M,Médio,"3,00","2,0%","13,80","0,00","34,00","0,30","0,00","1,00","4,00","4,00","3,00","6,00","6,00","7,00"
4984625,M,Médio,"3,00","4,0%","14,10","0,00","19,00","0,00","1,00","2,00","4,00","3,00","4,00","5,00","7,00","7,00"
2812784,F,Médio,"3,00","3,5%","46,20","0,00","24,00","2,70","0,00","0,00","4,00","4,00","2,00","3,00","9,00","6,00"
5681775,F,Médio,"3,00","7,8%","8,90","3,00","20,00","0,80","0,00","1,00","5,00","5,00","5,00","9,00","6,00","9,00"
7963360,M,Médio,"1,00","2,2%","21,00","1,00","33,00","0,30","0,00","0,00","4,00","5,00","3,00","2,00","7,00","9,00"
7466298,M,Médio,"5,00","4,2%","19,60","0,00","22,00","0,30","3,00","2,00","1,00","4,00","6,00","0,00","6,00","3,00"
5355799,F,Médio,"2,00","5,4%","12,40","2,00","18,00","0,00","0,00","0,00","5,00","3,00","2,00","2,00","8,00","2,00"
5729715,F,Médio,"4,00","5,0%","13,40","2,00","35,00","0,00","2,00","2,00","3,00","3,00","4,00","4,00","5,00","10,00"
2821551,M,Médio,"1,00","5,3%","10,90","0,00","26,00","0,90","0,00","0,00","5,00","5,00","2,00","0,00","2,00","7,00"
4820529,F,Médio,"4,00","3,2%","12,40","3,00","34,00","0,00","0,00","2,00","3,00","3,00","4,00","5,00","6,00","10,00"
5068023,F,Médio,"1,00","5,6%","17,10","1,00","34,00","0,10","0,00","1,00","4,00","4,00","0,00","0,00","6,00","6,00"
9039940,M,Médio,"2,00","3,2%","12,30","1,00","21,00","0,70","1,00","1,00","3,00","3,00","0,00","2,00","6,00","7,00"
6611053,F,Médio,"2,00","4,7%","21,00","0,00","27,00","0,00","0,00","0,00","4,00","3,00","0,00","0,00","0,00","10,00"
9077785,F,Médio,"6,00","1,9%","30,20","0,00","20,00","0,00","1,00","2,00","2,00","4,00","7,00","4,00","0,00","1,00"
4425447,F,Superior,"1,00","5,0%","36,20","0,00","29,00","1,10","0,00","0,00","5,00","5,00","0,00","3,00","8,00","8,00"
8092051,M,Médio,"3,00","3,0%","32,80","2,00","32,00","0,40","0,00","1,00","3,00","4,00","4,00","4,00","9,00","6,00"
7777087,F,Médio,"2,00","4,2%","17,50","3,00","27,00","1,90","2,00","2,00","3,00","3,00","2,00","2,00","4,00","8,00"
3132883,M,Médio,"3,00","3,4%","25,30","3,00","18,00","0,10","2,00","1,00","4,00","4,00","3,00","3,00","9,00","7,00"
1430339,F,Médio,"2,00","6,7%","22,60","1,00","30,00","1,20","1,00","2,00","5,00","5,00","1,00","2,00","6,00","6,00"
3943559,F,Médio,"1,00","4,8%","27,70","1,00","31,00","0,20","1,00","0,00","4,00","5,00","1,00","0,00","7,00","10,00"
2352854,M,Médio,"5,00","5,3%","15,70","0,00","30,00","0,50","3,00","2,00","2,00","5,00","1,00","1,00","8,00","3,00"
6337775,M,Médio,"0,00","5,8%","27,00","3,00","22,00","0,00","0,00","0,00","5,00","5,00","2,00","2,00","6,00","6,00"
5014949,M,Médio,"4,00","5,1%","18,60","3,00","21,00","0,80","2,00","1,00","3,00","5,00","4,00","3,00","8,00","5,00"
2821562,F,Médio,"0,00","6,7%","61,60","2,00","27,00","0,00","0,00","0,00","5,00","5,00","0,00","0,00","5,00","8,00"
8099198,F,Superior,"2,00","4,4%","11,50","2,00","28,00","0,40","0,00","0,00","5,00","5,00","0,00","2,00","9,00","7,00"
5697994,F,Superior,"4,00","4,2%","19,90","1,00","19,00","0,60","4,00","2,00","4,00","5,00","2,00","4,00","4,00","9,00"
5369255,M,Médio,"1,00","5,0%","7,70","3,00","35,00","1,40","0,00","0,00","5,00","5,00","0,00","6,00","3,00","4,00"
7938769,F,Superior,"5,00","4,6%","23,30","2,00","21,00","0,00","2,00","2,00","3,00","3,00","6,00","6,00","8,00","0,00"
9926894,F,Médio,"5,00","4,3%","15,60","0,00","33,00","0,60","1,00","2,00","3,00","1,00","4,00","2,00","4,00","6,00"
4664408,M,Médio,"4,00","5,7%","63,20","0,00","18,00","0,00","3,00","2,00","5,00","3,00","6,00","8,00","8,00","3,00"
8191877,F,Médio,"2,00","7,0%","18,00","3,00","22,00","0,40","1,00","1,00","5,00","5,00","3,00","4,00","7,00","7,00"
4037403,F,Médio,"3,00","3,7%","12,30","1,00","26,00","0,00","1,00","0,00","3,00","2,00","4,00","0,00","4,00","3,00"
9889659,F,Médio,"0,00","4,0%","24,80","3,00","24,00","1,40","1,00","0,00","5,00","5,00","1,00","3,00","7,00","8,00"
4979609,M,Médio,"2,00","3,2%","22,90","0,00","32,00","0,00","2,00","1,00","4,00","5,00","2,00","3,00","3,00","6,00"
2564893,F,Médio,"4,00","6,9%","18,20","3,00","29,00","0,40","2,00","1,00","4,00","5,00","3,00","5,00","0,00","7,00"
8448462,F,Médio,"3,00","5,7%","14,60","2,00","33,00","0,00","0,00","1,00","1,00","5,00","1,00","1,00","8,00","9,00"
3142097,F,Médio,"5,00","5,3%","59,70","3,00","25,00","2,80","1,00","2,00","4,00","2,00","3,00","8,00","0,00","7,00"
7117166,M,Médio,"1,00","3,5%","12,10","1,00","28,00","0,50","1,00","0,00","5,00","5,00","1,00","1,00","6,00","10,00"
4558900,M,Médio,"4,00","4,8%","18,80","0,00","23,00","0,00","0,00","2,00","3,00","5,00","2,00","5,00","9,00","7,00"
7440170,M,Médio,"1,00","3,0%","51,70","3,00","22,00","0,00","1,00","0,00","5,00","3,00","0,00","0,00","8,00","5,00"
9283714,F,Médio,"1,00","4,5%","15,00","3,00","34,00","0,00","0,00","1,00","5,00","5,00","0,00","2,00","10,00","6,00"
4335609,M,Médio,"6,00","7,8%","50,40","3,00","27,00","0,00","2,00","2,00","3,00","2,00","2,00","4,00","8,00","4,00"
8465291,M,Médio,"6,00","4,2%","16,40","3,00","29,00","0,20","3,00","2,00","3,00","3,00","3,00","5,00","10,00","4,00"
8260757,M,Médio,"4,00","3,7%","46,10","3,00","34,00","2,00","2,00","1,00","2,00","3,00","3,00","0,00","10,00","9,00"
2492349,M,Médio,"5,00","5,5%","11,50","2,00","34,00","1,30","2,00","3,00","3,00","2,00","4,00","7,00","6,00","8,00"
4262447,F,Médio,"2,00","6,2%","11,60","0,00","32,00","0,50","1,00","1,00","4,00","5,00","1,00","1,00","6,00","8,00"
4849720,M,Médio,"4,00","4,9%","12,60","0,00","19,00","1,70","1,00","2,00","5,00","3,00","6,00","6,00","8,00","10,00"
8441372,M,Médio,"1,00","7,4%","48,60","2,00","31,00","0,10","0,00","1,00","5,00","4,00","3,00","0,00","4,00","9,00"
9821941,F,Médio,"5,00","5,0%","48,50","1,00","24,00","0,00","4,00","2,00","4,00","5,00","3,00","5,00","8,00","3,00"
7592910,M,Médio,"0,00","8,1%","14,70","3,00","34,00","0,80","0,00","0,00","5,00","5,00","0,00","1,00","5,00","6,00"
8581744,M,Médio,"6,00","4,6%","15,60","1,00","31,00","2,40","5,00","3,00","1,00","3,00","5,00","6,00","3,00","4,00"
3854281,M,Médio,"3,00","6,3%","46,10","3,00","32,00","0,00","0,00","1,00","3,00","3,00","2,00","0,00","3,00","6,00"
2960852,M,Superior,"4,00","5,3%","43,30","3,00","25,00","0,40","3,00","1,00","4,00","4,00","4,00","4,00","7,00","8,00"
4285040,F,Médio,"1,00","5,8%","14,70","2,00","31,00","0,60","1,00","0,00","5,00","5,00","0,00","0,00","4,00","9,00"
6365795,M,Médio,"5,00","3,4%","15,70","3,00","25,00","1,30","1,00","3,00","2,00","4,00","3,00","2,00","1,00","7,00"
2111939,F,Médio,"6,00","6,6%","16,80","3,00","27,00","0,40","2,00","2,00","3,00","2,00","4,00","6,00","3,00","3,00"
2108938,M,Superior,"4,00","4,5%","15,10","2,00","19,00","0,00","0,00","2,00","3,00","3,00","1,00","6,00","5,00","2,00"
9835936,F,Médio,"5,00","5,2%","16,30","2,00","20,00","0,50","3,00","2,00","4,00","4,00","2,00","2,00","10,00","6,00"
9271181,M,Médio,"5,00","6,3%","47,20","3,00","34,00","0,90","1,00","1,00","4,00","2,00","6,00","7,00","10,00","4,00"
7018087,F,Médio,"3,00","5,4%","25,20","2,00","27,00","0,00","1,00","1,00","3,00","2,00","3,00","6,00","9,00","0,00"
3493071,M,Médio,"2,00","2,7%","25,40","3,00","21,00","0,00","0,00","0,00","3,00","5,00","3,00","1,00","9,00","4,00"
4336068,F,Médio,"5,00","4,3%","11,50","3,00","24,00","1,70","1,00","2,00","2,00","2,00","4,00","5,00","2,00","4,00"
1036121,M,Médio,"0,00","4,1%","18,70","1,00","34,00","0,00","0,00","0,00","5,00","4,00","0,00","5,00","7,00","10,00"
8626269,M,Médio,"2,00","4,9%","32,50","1,00","28,00","0,30","0,00","1,00","4,00","2,00","4,00","1,00","8,00","4,00"
5450688,M,Médio,"1,00","4,3%","39,70","3,00","24,00","1,30","1,00","0,00","5,00","5,00","0,00","1,00","2,00","10,00"
7038411,F,Médio,"5,00","4,4%","26,60","0,00","29,00","0,00","2,00","2,00","3,00","2,00","4,00","4,00","3,00","8,00"
8634426,F,Médio,"3,00","6,1%","52,50","0,00","21,00","1,20","0,00","1,00","2,00","4,00","0,00","2,00","8,00","7,00"
9996357,M,Médio,"0,00","5,1%","39,80","0,00","18,00","2,60","0,00","0,00","5,00","5,00","3,00","0,00","9,00","10,00"
1803124,F,Médio,"6,00","5,2%","37,90","2,00","29,00","0,90","2,00","2,00","3,00","0,00","4,00","10,00","2,00","3,00"
3371013,M,Médio,"5,00","4,9%","12,70","0,00","18,00","0,50","2,00","3,00","2,00","2,00","4,00","6,00","2,00","2,00"
9826005,F,Médio,"6,00","3,4%","31,20","3,00","20,00","0,00","2,00","3,00","2,00","2,00","5,00","7,00","9,00","2,00"
9132397,F,Médio,"4,00","6,6%","36,70","0,00","35,00","0,00","1,00","0,00","4,00","2,00","4,00","5,00","6,00","2,00"
3173014,M,Médio,"0,00","4,6%","69,60","1,00","33,00","1,70","0,00","0,00","4,00","4,00","0,00","1,00","5,00","8,00"
4206950,M,Médio,"2,00","5,4%","16,00","2,00","24,00","0,00","1,00","0,00","5,00","5,00","4,00","3,00","9,00","7,00"
9601600,F,Médio,"5,00","4,5%","20,20","1,00","32,00","0,30","2,00","2,00","3,00","2,00","5,00","2,00","5,00","1,00"
5596185,M,Médio,"4,00","7,0%","20,60","3,00","30,00","1,10","1,00","2,00","2,00","3,00","3,00","4,00","8,00","5,00"
9011213,M,Superior,"5,00","6,1%","36,50","2,00","31,00","0,00","2,00","1,00","2,00","3,00","3,00","8,00","5,00","0,00"
9544387,F,Médio,"4,00","2,1%","47,10","3,00","31,00","1,20","1,00","1,00","1,00","3,00","6,00","4,00","7,00","2,00"
7561771,F,Médio,"1,00","2,8%","45,30","3,00","23,00","0,40","0,00","0,00","5,00","4,00","1,00","3,00","8,00","7,00"
5948407,F,Superior,"1,00","4,2%","15,40","2,00","22,00","0,20","0,00","0,00","4,00","3,00","3,00","1,00","10,00","8,00"
3714175,F,Superior,"2,00","5,4%","16,10","3,00","26,00","0,00","1,00","1,00","5,00","2,00","3,00","1,00","5,00","6,00"
1232668,F,Médio,"4,00","4,9%","15,50","2,00","32,00","0,00","2,00","1,00","3,00","3,00","4,00","0,00","5,00","6,00"
3469495,M,Médio,"6,00","3,8%","19,80","1,00","28,00","0,00","4,00","3,00","4,00","3,00","4,00","9,00","5,00","9,00"
1065116,F,Médio,"4,00","6,0%","46,50","1,00","23,00","2,70","2,00","1,00","4,00","2,00","3,00","2,00","9,00","10,00"
5949176,M,Médio,"5,00","4,7%","8,70","1,00","31,00","0,60","2,00","2,00","3,00","2,00","3,00","6,00","5,00","4,00"
4633299,M,Médio,"1,00","4,2%","16,30","3,00","23,00","0,70","2,00","0,00","5,00","5,00","0,00","6,00","8,00","9,00"
7970925,M,Médio,"5,00","5,4%","14,20","2,00","32,00","0,80","2,00","2,00","4,00","3,00","6,00","5,00","5,00","2,00"
2025062,F,Médio,"1,00","6,0%","19,70","0,00","21,00","0,20","0,00","0,00","5,00","4,00","0,00","2,00","8,00","10,00"
6557864,M,Médio,"0,00","5,8%","7,70","0,00","24,00","0,30","1,00","0,00","5,00","5,00","0,00","1,00","8,00","8,00"
2840509,F,Médio,"2,00","4,0%","10,00","1,00","27,00","0,80","3,00","1,00","5,00","4,00","2,00","4,00","0,00","5,00"
7076975,M,Médio,"5,00","5,9%","65,90","0,00","27,00","0,10","3,00","2,00","4,00","2,00","4,00","6,00","1,00","8,00"
5571953,F,Médio,"5,00","6,7%","15,30","1,00","28,00","1,10","3,00","1,00","3,00","4,00","7,00","4,00","7,00","2,00"
9223790,M,Médio,"3,00","5,0%","14,10","0,00","32,00","0,10","0,00","1,00","5,00","5,00","3,00","1,00","8,00","4,00"
9285451,F,Médio,"5,00","6,8%","17,20","3,00","24,00","0,20","2,00","2,00","4,00","2,00","6,00","8,00","4,00","1,00"
2582004,F,Médio,"2,00","2,4%","56,60","3,00","20,00","0,10","0,00","0,00","5,00","5,00","0,00","0,00","1,00","3,00"
2440068,M,Médio,"2,00","4,9%","28,50","2,00","21,00","0,50","1,00","0,00","5,00","2,00","3,00","0,00","7,00","9,00"
9420660,F,Médio,"0,00","7,1%","38,10","0,00","19,00","0,40","1,00","0,00","5,00","5,00","0,00","3,00","10,00","7,00"
6008292,F,Médio,"0,00","5,6%","16,80","3,00","21,00","0,00","0,00","0,00","4,00","5,00","1,00","1,00","9,00","6,00"
7829871,M,Médio,"4,00","5,7%","42,70","1,00","19,00","0,00","2,00","0,00","3,00","5,00","1,00","4,00","6,00","0,00"
8713175,F,Médio,"4,00","4,6%","15,30","3,00","22,00","0,90","2,00","1,00","5,00","4,00","6,00","8,00","3,00","3,00"
9760213,M,Médio,"2,00","4,2%","16,50","3,00","28,00","0,10","0,00","1,00","5,00","5,00","1,00","3,00","7,00","6,00"
5640550,F,Médio,"6,00","4,1%","14,40","3,00","27,00","0,00","2,00","3,00","3,00","2,00","5,00","7,00","5,00","3,00"
3376003,F,Médio,"4,00","7,3%","34,50","1,00","28,00","2,40","2,00","1,00","4,00","1,00","1,00","5,00","7,00","8,00"
3518563,M,Médio,"0,00","6,2%","14,20","2,00","25,00","0,00","0,00","0,00","5,00","5,00","3,00","1,00","9,00","6,00"
8843096,M,Médio,"5,00","7,6%","14,80","3,00","29,00","0,20","3,00","2,00","4,00","3,00","1,00","5,00","4,00","4,00"
1422525,F,Médio,"3,00","4,2%","15,00","1,00","32,00","0,10","1,00","1,00","4,00","5,00","4,00","1,00","7,00","7,00"
2379825,M,Médio,"6,00","4,2%","20,00","2,00","26,00","0,00","2,00","2,00","3,00","4,00","6,00","4,00","10,00","9,00"
1108664,M,Médio,"4,00","6,0%","25,00","1,00","30,00","0,50","3,00","1,00","5,00","4,00","3,00","3,00","8,00","0,00"
2761212,F,Médio,"5,00","4,2%","36,60","1,00","20,00","1,40","2,00","2,00","2,00","5,00","3,00","10,00","0,00","3,00"
3088843,F,Médio,"3,00","6,1%","17,40","2,00","21,00","1,70","2,00","1,00","4,00","4,00","2,00","2,00","6,00","4,00"
2970772,M,Médio,"3,00","4,6%","17,40","0,00","20,00","2,80","2,00","1,00","5,00","1,00","4,00","0,00","3,00","10,00"
1853015,M,Médio,"1,00","8,0%","31,70","0,00","34,00","1,10","0,00","0,00","4,00","5,00","1,00","2,00","7,00","10,00"
4230023,M,Médio,"5,00","4,8%","19,30","1,00","33,00","0,70","1,00","2,00","3,00","1,00","3,00","5,00","10,00","6,00"
8385464,M,Superior,"0,00","7,3%","50,00","3,00","19,00","0,90","0,00","0,00","5,00","3,00","0,00","0,00","9,00","9,00"
6574074,F,Médio,"6,00","7,7%","10,50","2,00","21,00","0,00","2,00","3,00","3,00","2,00","2,00","5,00","8,00","9,00"
5527984,F,Superior,"5,00","3,2%","10,20","1,00","34,00","2,10","1,00","1,00","2,00","2,00","4,00","8,00","5,00","5,00"
2281437,F,Médio,"3,00","4,3%","25,40","0,00","30,00","1,90","2,00","1,00","5,00","2,00","0,00","3,00","3,00","9,00"
2389097,M,Médio,"4,00","6,9%","40,60","3,00","21,00","0,60","0,00","1,00","4,00","3,00","1,00","0,00","8,00","5,00"
8604880,F,Médio,"2,00","4,7%","12,40","0,00","21,00","0,00","0,00","0,00","4,00","5,00","2,00","1,00","8,00","4,00"
6593000,F,Médio,"5,00","5,6%","20,50","2,00","28,00","0,00","2,00","3,00","3,00","4,00","3,00","6,00","4,00","0,00"
7674778,M,Médio,"1,00","1,8%","29,70","1,00","25,00","1,80","0,00","0,00","5,00","5,00","2,00","3,00","8,00","6,00"
6507583,M,Médio,"4,00","2,9%","52,30","2,00","30,00","0,00","1,00","1,00","4,00","4,00","2,00","4,00","9,00","9,00"
5372656,F,Médio,"0,00","5,0%","30,20","1,00","32,00","0,00","0,00","0,00","5,00","5,00","0,00","3,00","7,00","8,00"
8040859,F,Médio,"3,00","7,3%","19,00","2,00","33,00","0,90","2,00","1,00","2,00","2,00","2,00","0,00","8,00","5,00"
8319534,M,Médio,"6,00","6,4%","21,70","0,00","22,00","0,20","2,00","2,00","2,00","3,00","7,00","6,00","6,00","2,00"
6906603,M,Médio,"3,00","2,6%","62,30","3,00","24,00","0,00","2,00","1,00","4,00","4,00","2,00","1,00","7,00","6,00"
7864675,M,Médio,"4,00","5,5%","18,10","3,00","31,00","0,20","1,00","2,00","4,00","4,00","1,00","2,00","7,00","3,00"
9831700,M,Médio,"5,00","3,5%","14,90","3,00","31,00","0,50","1,00","2,00","4,00","2,00","3,00","4,00","7,00","0,00"
1134010,M,Médio,"1,00","4,3%","19,40","2,00","26,00","0,90","2,00","0,00","5,00","2,00","1,00","0,00","10,00","5,00"
6567432,F,Médio,"3,00","7,3%","18,00","2,00","30,00","0,00","0,00","1,00","3,00","3,00","3,00","6,00","3,00","5,00"
3059376,M,Médio,"1,00","6,7%","23,30","1,00","29,00","0,00","1,00","0,00","5,00","5,00","2,00","0,00","10,00","10,00"
2571797,M,Médio,"5,00","9,0%","20,50","1,00","35,00","2,10","1,00","1,00","2,00","4,00","7,00","3,00","9,00","9,00"
6806035,M,Médio,"5,00","4,1%","12,00","1,00","30,00","1,50","1,00","2,00","3,00","3,00","5,00","0,00","6,00","2,00"
4928542,F,Médio,"6,00","6,1%","16,80","0,00","23,00","0,00","3,00","2,00","3,00","1,00","4,00","2,00","1,00","7,00"
2405209,M,Médio,"0,00","6,8%","29,10","2,00","24,00","0,70","0,00","0,00","5,00","5,00","2,00","1,00","9,00","10,00"
8610900,M,Médio,"1,00","6,5%","23,10","0,00","34,00","0,70","0,00","0,00","5,00","5,00","1,00","1,00","6,00","6,00"
9067336,M,Médio,"6,00","5,1%","17,60","3,00","20,00","1,80","3,00","2,00","3,00","4,00","3,00","8,00","7,00","2,00"
6318194,M,Médio,"1,00","1,7%","24,50","3,00","21,00","2,20","0,00","2,00","5,00","5,00","0,00","4,00","7,00","9,00"
2964158,M,Médio,"6,00","3,1%","31,30","0,00","26,00","0,00","2,00","2,00","0,00","1,00","8,00","5,00","6,00","8,00"
1025931,M,Médio,"1,00","9,2%","15,10","0,00","33,00","0,00","0,00","0,00","5,00","5,00","0,00","3,00","9,00","9,00"
1124067,F,Médio,"3,00","6,7%","21,70","1,00","27,00","1,80","2,00","1,00","5,00","5,00","1,00","4,00","7,00","8,00"
8386911,M,Médio,"5,00","7,3%","13,20","3,00","18,00","0,50","3,00","2,00","5,00","0,00","3,00","9,00","6,00","5,00"
8849373,F,Médio,"2,00","4,8%","15,20","3,00","23,00","0,90","0,00","1,00","5,00","4,00","0,00","0,00","1,00","7,00"
9254722,M,Superior,"5,00","3,6%","26,00","1,00","27,00","0,00","2,00","2,00","3,00","3,00","3,00","6,00","4,00","6,00"
7667384,F,Médio,"1,00","4,8%","16,10","2,00","34,00","2,70","0,00","0,00","4,00","3,00","0,00","2,00","3,00","9,00"
1938390,F,Superior,"0,00","6,1%","15,90","2,00","27,00","0,40","0,00","0,00","5,00","5,00","0,00","0,00","6,00","8,00"
8535124,M,Médio,"4,00","5,8%","38,60","0,00","30,00","0,80","3,00","2,00","4,00","2,00","2,00","5,00","10,00","0,00"
6122268,M,Médio,"5,00","4,0%","18,20","0,00","24,00","0,70","3,00","2,00","3,00","0,00","5,00","3,00","7,00","1,00"
4200406,F,Médio,"2,00","3,9%","11,60","3,00","20,00","0,00","1,00","0,00","5,00","4,00","2,00","0,00","8,00","5,00"
5222104,F,Médio,"5,00","3,7%","10,60","2,00","26,00","0,90","3,00","2,00","0,00","5,00","5,00","6,00","3,00","6,00"
2235969,M,Médio,"4,00","8,7%","43,10","1,00","18,00","0,10","1,00","2,00","2,00","4,00","2,00","5,00","8,00","5,00"
2514584,F,Médio,"6,00","4,7%","19,00","3,00","31,00","0,80","1,00","2,00","2,00","4,00","3,00","3,00","0,00","9,00"
6854390,M,Médio,"4,00","4,3%","29,30","2,00","34,00","0,80","2,00","1,00","4,00","3,00","1,00","6,00","3,00","6,00"
1184002,M,Médio,"6,00","4,8%","18,90","0,00","20,00","0,90","3,00","2,00","2,00","2,00","4,00","9,00","2,00","3,00"
7693648,F,Médio,"0,00","7,1%","27,10","3,00","32,00","1,00","0,00","0,00","4,00","5,00","1,00","1,00","7,00","8,00"
9918191,M,Médio,"5,00","5,7%","15,10","2,00","28,00","0,00","2,00","2,00","3,00","4,00","3,00","5,00","4,00","5,00"
8155783,M,Superior,"2,00","5,1%","20,20","2,00","25,00","0,50","0,00","0,00","4,00","4,00","0,00","1,00","9,00","6,00"
4332890,M,Superior,"3,00","5,2%","24,70","1,00","35,00","0,70","1,00","1,00","5,00","3,00","3,00","2,00","10,00","6,00"
4781077,M,Superior,"0,00","4,3%","17,60","3,00","33,00","0,40","0,00","0,00","5,00","5,00","2,00","2,00","9,00","4,00"
1934707,M,Médio,"5,00","4,9%","12,60","0,00","33,00","0,50","1,00","3,00","2,00","5,00","3,00","3,00","6,00","6,00"
1200621,M,Médio,"2,00","2,6%","11,00","0,00","23,00","0,50","0,00","0,00","4,00","3,00","5,00","3,00","4,00","8,00"
3722109,F,Médio,"0,00","4,5%","16,70","0,00","28,00","1,40","0,00","0,00","5,00","5,00","2,00","1,00","4,00","5,00"
6645631,M,Médio,"0,00","4,6%","48,30","2,00","25,00","0,00","0,00","0,00","5,00","4,00","1,00","1,00","6,00","9,00"
7505558,M,Médio,"2,00","4,5%","14,10","3,00","27,00","0,00","1,00","0,00","5,00","4,00","1,00","1,00","7,00","8,00"
6591267,M,Médio,"0,00","4,0%","16,70","0,00","31,00","0,70","0,00","0,00","5,00","5,00","0,00","1,00","6,00","10,00"
8209395,F,Superior,"4,00","7,0%","17,40","1,00","28,00","0,90","2,00","1,00","4,00","3,00","0,00","2,00","8,00","8,00"
9729195,M,Superior,"3,00","4,1%","35,90","1,00","32,00","0,00","1,00","1,00","4,00","5,00","1,00","7,00","7,00","3,00"
7347244,F,Médio,"1,00","5,6%","13,00","3,00","27,00","0,30","0,00","0,00","5,00","1,00","2,00","3,00","9,00","9,00"
2533770,M,Médio,"6,00","5,0%","34,10","3,00","22,00","0,00","3,00","2,00","1,00","4,00","6,00","2,00","5,00","1,00"
